0f	0f
0.008f	-0.00817332f
0.016f	-0.00944823f
0.024f	-0.0095936f
0.032f	-0.00955442f
0.04f	-0.00948551f
0.048f	-0.00941221f
0.056f	-0.00933868f
0.064f	-0.0092656f
0.072f	-0.00919306f
0.08f	-0.00912109f
0.088f	-0.00904968f
0.096f	-0.00897883f
0.104f	-0.00890854f
0.112f	-0.0088388f
0.12f	-0.0087696f
0.128f	-0.00870094f
0.136f	-0.00863282f
0.144f	-0.00856524f
0.152f	-0.00849818f
0.16f	-0.00843165f
0.168f	-0.00836564f
0.176f	-0.00830015f
0.184f	-0.00823517f
0.192f	-0.0081707f
0.2f	-0.00810673f
0.208f	-0.00804326f
0.216f	-0.00798029f
0.224f	-0.00791782f
0.232f	-0.00785583f
0.24f	-0.00779433f
0.248f	-0.00773331f
0.256f	-0.00767276f
0.264f	-0.00761269f
0.272f	-0.0075531f
0.28f	-0.00749396f
0.288f	-0.00743529f
0.296f	-0.00737709f
0.304f	-0.00731933f
0.312f	-0.00726203f
0.32f	-0.00720518f
0.328f	-0.00714877f
0.336f	-0.0070928f
0.344f	-0.00703727f
0.352f	-0.00698218f
0.36f	-0.00692752f
0.368f	-0.00687328f
0.376f	-0.00681947f
0.384f	-0.00676608f
0.392f	-0.00671311f
0.4f	-0.00666056f
0.408f	-0.00660841f
0.416f	-0.00655668f
0.424f	-0.00650534f
0.432f	-0.00645441f
0.44f	-0.00640388f
0.448f	-0.00635375f
0.456f	-0.00630401f
0.464f	-0.00625465f
0.472f	-0.00620569f
0.48f	-0.0061571f
0.488f	-0.0061089f
0.496f	-0.00606107f
