0	0
0.005	-0.00669473
0.01	-0.00878145
0.015	-0.00940945
0.02	-0.00957579
0.025	-0.00959613
0.03	-0.0095704
0.035	-0.00953024
0.04	-0.00948567
0.045	-0.00943987
0.05	-0.00939382
0.055	-0.00934786
0.06	-0.00930207
0.065	-0.0092565
0.07	-0.00921114
0.075	-0.00916601
0.08	-0.00912109
0.085	-0.0090764
0.09	-0.00903192
0.095	-0.00898766
0.1	-0.00894362
0.105	-0.00889979
0.11	-0.00885618
0.115	-0.00881278
0.12	-0.0087696
0.125	-0.00872663
0.13	-0.00868386
0.135	-0.00864131
0.14	-0.00859897
0.145	-0.00855683
0.15	-0.0085149
0.155	-0.00847317
0.16	-0.00843165
0.165	-0.00839034
0.17	-0.00834922
0.175	-0.00830831
0.18	-0.00826759
0.185	-0.00822708
0.19	-0.00818677
0.195	-0.00814665
0.2	-0.00810673
0.205	-0.008067
0.21	-0.00802747
0.215	-0.00798814
0.22	-0.00794899
0.225	-0.00791004
0.23	-0.00787128
0.235	-0.00783271
0.24	-0.00779433
0.245	-0.00775613
0.25	-0.00771813
0.255	-0.00768031
0.26	-0.00764267
0.265	-0.00760522
0.27	-0.00756795
0.275	-0.00753087
0.28	-0.00749396
0.285	-0.00745724
0.29	-0.0074207
0.295	-0.00738434
0.3	-0.00734815
0.305	-0.00731214
0.31	-0.00727631
0.315	-0.00724066
0.32	-0.00720518
0.325	-0.00716987
0.33	-0.00713473
0.335	-0.00709977
0.34	-0.00706498
0.345	-0.00703036
0.35	-0.00699591
0.355	-0.00696163
0.36	-0.00692752
0.365	-0.00689357
0.37	-0.00685979
0.375	-0.00682617
0.38	-0.00679272
0.385	-0.00675944
0.39	-0.00672632
0.395	-0.00669336
0.4	-0.00666056
0.405	-0.00662792
0.41	-0.00659544
0.415	-0.00656312
0.42	-0.00653096
0.425	-0.00649896
0.43	-0.00646711
0.435	-0.00643542
0.44	-0.00640388
0.445	-0.0063725
0.45	-0.00634128
0.455	-0.0063102
0.46	-0.00627928
0.465	-0.00624851
0.47	-0.00621789
0.475	-0.00618742
0.48	-0.0061571
0.485	-0.00612693
0.49	-0.00609691
0.495	-0.00606703
